date,amount
2022-01-01,1216787.19398112083474054
2022-02-01,1069982.086333372702742069
2022-03-01,1226124.939139038978324745
2022-04-01,1180108.778097426611674527
2022-05-01,1205141.591025538243959076
2022-06-01,40934.555835609356594005
