date,amount
2021-12-10,1721756.956148245468872509
2022-01-01,4055805.366611051717441535
2022-02-01,3631100.581070360011723754
2022-03-01,4120972.879445042159104841
2022-04-01,3933597.52756014968668202
2022-05-01,3998181.650431916978263626
2022-06-01,3730350.331967806904524435
2022-07-01,3975680.696131503981660981
2022-08-01,4044676.486219800785683345
