date,amount
2022-05-15,30634.61440423029067804
2022-05-16,40850.913717133359418439
2022-05-17,40856.358159447073319073
2022-05-18,40861.804174813366808875
2022-05-19,40867.248642503341909236
2022-05-20,40872.695767469589377887
2022-05-21,30658.097658205328121772
2022-05-22,40882.233204978579120635
2022-05-23,40887.678298408387026965
2022-05-24,40893.127250295278458016
2022-05-25,40898.566666548053391614
2022-05-26,40904.016810249712988822
2022-05-27,30681.548890687791885092
2022-05-28,40913.344458834755831182
2022-05-29,40918.633471214179682025
2022-05-30,40923.936523892114572694
2022-05-31,40929.244587252880961789
2022-06-01,40934.555835609356594005
2022-06-02,30704.410639860544803909
2022-06-03,40943.895972825531024478
2022-06-04,40949.24490260489720714
2022-06-05,40954.600580071985471465
2022-06-06,30719.47618025032201308
2022-06-07,40964.009153813109820571
2022-06-08,40969.387815740233285967
2022-06-09,40974.772927200213652585
2022-06-10,30734.620594867143848819
2022-06-11,40984.223349355739141057
2022-06-12,40989.62386552611152268
2022-06-13,30745.75640846516205667
2022-06-14,40999.055415716769273203
2022-06-15,41004.451000575384904634
2022-06-16,30756.849136533603273286
2022-06-17,41013.755262618861488919
2022-06-18,41018.975654963690617159
2022-06-19,41024.17649963858072604
2022-06-20,30771.540250365421675649
2022-06-21,41033.269051917808759303
2022-06-22,41038.474141548752808854
2022-06-23,30782.260379406833599612
2022-06-24,41047.60125437645135758
2022-06-25,41052.879258861897148345
2022-06-26,41058.215738935854470402
2022-06-27,30797.170221877222461335
2022-06-28,41067.572852969127880607
2022-06-29,41072.914173879044735379
2022-06-30,41078.273604189496600135
2022-07-01,30812.230355492296279265
2022-07-02,41087.695805987888655944
2022-07-03,41093.115594213426059584
2022-07-04,41098.545559836738700274
2022-07-05,30827.473680126147273429
2022-07-06,41108.053123261372065196
2022-07-07,41113.491537489367701766
2022-07-08,41118.922408764314850387
2022-07-09,41124.36167666082423289
2022-07-10,30846.841934888253240607
2022-07-11,41133.867223533720127481
2022-07-12,41139.277295695054476369
2022-07-13,41144.687759003077750538
2022-07-14,41150.09958388685399085
2022-07-15,30866.129990051330816304
2022-07-16,41159.585096662207378864
2022-07-17,41165.006224606578461942
2022-07-18,41170.43772612986755902
2022-07-19,41175.873137724999873228
2022-07-20,30885.467056062639516456
2022-07-21,41185.37801327206102758
2022-07-22,41190.811985318786620346
2022-07-23,41196.246325093894296349
2022-07-24,30900.752487506250675106
2022-07-25,41205.760515771085496352
2022-07-26,41211.196157415305430542
2022-07-27,41216.623530871261339039
2022-07-28,41222.036414254393309968
2022-07-29,30920.079563230927249115
2022-07-30,41231.497785758794664497
2022-07-31,41236.897289658463947192
2022-08-01,41242.29661580924552376
2022-08-02,30935.066486751334716286
2022-08-03,41251.274678515899603137
2022-08-04,41256.592405317519029956
2022-08-05,41261.944396025396000668
2022-08-06,41267.283028824278806409
2022-08-07,41272.655171869182571655
2022-08-08,41278.050252008342132714
2022-08-09,30962.083559969974712551
2022-08-10,41287.501227279311352981
2022-08-11,41292.899673989396488427
2022-08-12,41298.323430411475473433
2022-08-13,41303.745616637244683179
2022-08-14,41308.899334359581442331
2022-08-15,41314.129517206950170931
2022-08-16,30989.113865597665264634
2022-08-17,41323.525104368430239371
2022-08-18,41328.842230126492614347
2022-08-19,41334.175615187410254982
2022-08-20,41339.5147478794658391
2022-08-21,41344.887502963158895453
2022-08-22,41350.284297581253291715
2022-08-23,31016.229032012315421096
2022-08-24,41359.677499709450885747
2022-08-25,41365.091350584035178004
2022-08-26,41370.50409419399590693
2022-08-27,41375.917281131687873737
2022-08-28,41381.354999778174301069
2022-08-29,41386.788764761626878165
2022-08-30,41392.216518114002076834
2022-08-31,31047.732624314640509671
2022-09-01,41401.739003638633947599
2022-09-02,41407.184415767010147112
2022-09-03,41412.64104755487372885
2022-09-04,41418.108560056578449142
2022-09-05,41423.541978745968782831
2022-09-06,41428.985857549019965215
2022-09-07,31075.310723954166138224
2022-09-08,41438.520457236425590003
2022-09-09,41443.950892651232765409
2022-09-10,41449.261165495196616862
2022-09-11,41454.626679033679254365
2022-09-12,41460.007790881176106382
2022-09-13,31098.538244933716607327
2022-09-14,41469.424592771676910854
2022-09-15,41474.836445954599805854
2022-09-16,41480.263913275285694285
2022-09-17,41485.663672487348886043
2022-09-18,41491.024863724965365879
2022-09-19,41496.390066691542881174
2022-09-20,41501.778387450992188727
2022-09-21,41507.087737934039102115
2022-09-22,41512.451580815721091986
2022-09-23,31137.901535749874236201
2022-09-24,41522.017365094396994883
2022-09-25,41527.527621961826597183
2022-09-26,41533.030606160371665032
2022-09-27,41538.496905768537169679
2022-09-28,41543.985202580187347851
2022-09-29,41549.486928407491366892
2022-09-30,41554.991172763231859777
2022-10-01,41560.499517328518490178
2022-10-02,31173.985668556599564392
2022-10-03,41570.139889322323922252
2022-10-04,41575.654547274060407053
2022-10-05,41581.153604738142095654
2022-10-06,41586.670549431106090787
2022-10-07,41592.198534315737092659
2022-10-08,41597.722159042398431132
2022-10-09,41603.246283644507170247
2022-10-10,41608.759392747468548178
2022-10-11,41614.247283693540419887
2022-10-12,41619.768544016509015911
2022-10-13,41625.274657452738894971
2022-10-14,41630.788467045890130559
2022-10-15,41636.316996528233376026
2022-10-16,41641.819846824915984934
2022-10-17,41647.346836256501397232
2022-10-18,41652.838286069943811628
2022-10-19,31243.128326849754949061
2022-10-20,41662.302239374325032547
2022-10-21,41667.80951581941086651
2022-10-22,41673.321176655594138408
2022-10-23,41678.835308808314094271
2022-10-24,41684.336772173466772566
2022-10-25,41689.85942749887107777
2022-10-26,41695.37688310121299639
2022-10-27,31275.160352648567654269
2022-10-28,41705.047500772978291507
2022-10-29,41710.588212956414813692
2022-10-30,41716.113784960777840097
2022-10-31,41721.65405639936467831
2022-11-01,41727.191995831269647882
2022-11-02,41732.719764920208449649
2022-11-03,41738.210628166672278382
