date,count
2021-12-18,0
2022-01-01,111034
2022-02-01,45814
2022-03-01,24895
2022-04-01,22943
2022-05-01,17889
2022-06-01,17732
2022-07-01,20371
2022-08-01,19760
2022-09-01,15756
2022-10-01,583421
2022-11-01,405612
2022-12-01,84570
